Year,Substance,Gender,Deaths
2018,Prescription.opioids,FEMALE,71
2019,Prescription.opioids,MALE,120
2019,Prescription.opioids,FEMALE,42
2020,Prescription.opioids,MALE,120
2020,Prescription.opioids,FEMALE,60
2021,Prescription.opioids,MALE,90
2021,Prescription.opioids,FEMALE,45
2022,Prescription.opioids,MALE,91
2022,Prescription.opioids,FEMALE,53
2023,Prescription.opioids,MALE,74
2023,Prescription.opioids,FEMALE,40
2012,Methamphetamine,MALE,89
2012,Methamphetamine,FEMALE,23
2013,Methamphetamine,MALE,103
2013,Methamphetamine,FEMALE,30
2014,Methamphetamine,MALE,136
2014,Methamphetamine,FEMALE,36
2015,Methamphetamine,MALE,207
2015,Methamphetamine,FEMALE,45
2016,Methamphetamine,MALE,245
2016,Methamphetamine,FEMALE,72
2017,Methamphetamine,MALE,268
2017,Methamphetamine,FEMALE,84
2018,Methamphetamine,MALE,366
2018,Methamphetamine,FEMALE,121
2019,Methamphetamine,MALE,455
2019,Methamphetamine,FEMALE,122
2020,Methamphetamine,MALE,879
2020,Methamphetamine,FEMALE,245
2021,Methamphetamine,MALE,1158
2021,Methamphetamine,FEMALE,286
2022,Methamphetamine,MALE,1339
2022,Methamphetamine,FEMALE,306
2023,Methamphetamine,MALE,1250
2023,Methamphetamine,FEMALE,308
2012,Cocaine,MALE,38
2012,Cocaine,FEMALE,24
2013,Cocaine,MALE,46
2013,Cocaine,FEMALE,17
2014,Cocaine,MALE,54
2014,Cocaine,FEMALE,21
2015,Cocaine,MALE,71
2015,Cocaine,FEMALE,37
2016,Cocaine,MALE,82
2016,Cocaine,FEMALE,30
2017,Cocaine,MALE,94
2017,Cocaine,FEMALE,24
2018,Cocaine,MALE,123
2018,Cocaine,FEMALE,52
2019,Cocaine,MALE,172
2019,Cocaine,FEMALE,47
2020,Cocaine,MALE,258
2020,Cocaine,FEMALE,82
2021,Cocaine,MALE,317
2021,Cocaine,FEMALE,95
2022,Cocaine,MALE,346
2022,Cocaine,FEMALE,114
2023,Cocaine,MALE,362
2023,Cocaine,FEMALE,109
2012,Benzodiazepines,MALE,4
2012,Benzodiazepines,FEMALE,2
2013,Benzodiazepines,MALE,8
2013,Benzodiazepines,FEMALE,1
2014,Benzodiazepines,MALE,15
2014,Benzodiazepines,FEMALE,8
2015,Benzodiazepines,MALE,15
2015,Benzodiazepines,FEMALE,15
2016,Benzodiazepines,MALE,29
2016,Benzodiazepines,FEMALE,14
2017,Benzodiazepines,MALE,33
2017,Benzodiazepines,FEMALE,20
2018,Benzodiazepines,MALE,30
2018,Benzodiazepines,FEMALE,11
2019,Benzodiazepines,MALE,66
2019,Benzodiazepines,FEMALE,29
2020,Benzodiazepines,MALE,102
2020,Benzodiazepines,FEMALE,60
2021,Benzodiazepines,MALE,126
2021,Benzodiazepines,FEMALE,63
2022,Benzodiazepines,MALE,120
2022,Benzodiazepines,FEMALE,52
2023,Benzodiazepines,MALE,79
2023,Benzodiazepines,FEMALE,32
2012,Alcohol,MALE,163
2012,Alcohol,FEMALE,34
2013,Alcohol,MALE,197
2013,Alcohol,FEMALE,48
2014,Alcohol,MALE,187
2014,Alcohol,FEMALE,42
2015,Alcohol,MALE,227
2015,Alcohol,FEMALE,63
2016,Alcohol,MALE,214
2016,Alcohol,FEMALE,62
2017,Alcohol,MALE,234
2017,Alcohol,FEMALE,64
2018,Alcohol,MALE,247
2018,Alcohol,FEMALE,76
2019,Alcohol,MALE,291
2019,Alcohol,FEMALE,61
2020,Alcohol,MALE,453
2020,Alcohol,FEMALE,103
2021,Alcohol,MALE,538
2021,Alcohol,FEMALE,144
2022,Alcohol,MALE,531
2022,Alcohol,FEMALE,120
2023,Alcohol,MALE,517
2023,Alcohol,FEMALE,121
2012,Others,MALE,12
2012,Others,FEMALE,10
2013,Others,MALE,18
2013,Others,FEMALE,12
2014,Others,MALE,25
2014,Others,FEMALE,22
2015,Others,MALE,18
2015,Others,FEMALE,16
2016,Others,MALE,30
2016,Others,FEMALE,18
2017,Others,MALE,49
2017,Others,FEMALE,38
2018,Others,MALE,55
2018,Others,FEMALE,36
2019,Others,MALE,66
2019,Others,FEMALE,36
2020,Others,MALE,67
2020,Others,FEMALE,43
2021,Others,MALE,57
2021,Others,FEMALE,52
2022,Others,MALE,72
2022,Others,FEMALE,55
2023,Others,MALE,66
2023,Others,FEMALE,45
